lat,lon,accident_idx,lighting,road_quality,incident_score,crosswalk_present,weather_risk,zone
17.367809,78.472972,0.1653,0.3266,0.2836,0.1636,1.0,1.0,old_city_charminar
17.365088,78.487331,0.0793,0.1832,0.26,0.1153,0.0,1.0,old_city_charminar
17.340039,78.467671,0.05,0.242,0.2364,0.0811,0.0,1.0,old_city_charminar
17.353732,78.482172,0.2992,0.2476,0.3086,0.1439,0.0,1.0,old_city_charminar
17.354092,78.471054,0.0779,0.3497,0.2991,0.106,1.0,1.0,old_city_charminar
17.358732,78.479567,0.05,0.2964,0.4945,0.2636,0.0,1.0,old_city_charminar
17.370831,78.476842,0.1119,0.1989,0.1965,0.1296,0.0,1.0,old_city_charminar
17.344767,78.463693,0.05,0.2294,0.3407,0.2421,0.0,1.0,old_city_charminar
17.35111,78.470835,0.1432,0.2883,0.2665,0.167,0.0,1.0,old_city_charminar
17.376346,78.463472,0.1784,0.2408,0.2274,0.1747,0.0,1.0,old_city_charminar
17.366117,78.493925,0.1175,0.3295,0.1166,0.2375,1.0,1.0,old_city_charminar
17.343866,78.487731,0.1832,0.2213,0.2626,0.0753,0.0,1.0,old_city_charminar
17.351494,78.468428,0.1841,0.243,0.2629,0.2159,0.0,1.0,old_city_charminar
17.378748,78.476894,0.0983,0.2671,0.282,0.1543,0.0,1.0,old_city_charminar
17.365302,78.477963,0.1204,0.2036,0.2009,0.1506,0.0,1.0,old_city_charminar
17.367262,78.472624,0.135,0.0784,0.234,0.2783,0.0,1.0,old_city_charminar
17.337615,78.474369,0.1242,0.3924,0.2865,0.2011,0.0,1.0,old_city_charminar
17.365848,78.474608,0.1737,0.1395,0.2457,0.2341,0.0,1.0,old_city_charminar
17.379135,78.457177,0.1611,0.3733,0.2307,0.1404,1.0,1.0,old_city_charminar
17.382933,78.48562,0.1206,0.1944,0.3454,0.0944,0.0,1.0,old_city_charminar
17.350107,78.494074,0.0652,0.1975,0.3569,0.0938,0.0,1.0,old_city_charminar
17.378649,78.50644,0.0973,0.2056,0.1992,0.2634,0.0,1.0,old_city_charminar
17.368124,78.478412,0.1375,0.2443,0.2524,0.1963,0.0,1.0,old_city_charminar
17.364429,78.485293,0.1322,0.1348,0.3735,0.2728,0.0,1.0,old_city_charminar
17.349416,78.484539,0.2011,0.1626,0.3674,0.2089,0.0,1.0,old_city_charminar
17.350754,78.476523,0.05,0.166,0.3615,0.1632,0.0,1.0,old_city_charminar
17.361763,78.492869,0.1015,0.4104,0.3438,0.12,0.0,1.0,old_city_charminar
17.362125,78.472984,0.1113,0.2718,0.2683,0.2344,0.0,1.0,old_city_charminar
17.356019,78.485405,0.135,0.1328,0.3121,0.207,0.0,1.0,old_city_charminar
17.364487,78.464588,0.194,0.2236,0.3611,0.2546,0.0,1.0,old_city_charminar
17.344379,78.462977,0.1561,0.256,0.3361,0.4497,0.0,1.0,old_city_charminar
17.378236,78.487053,0.1363,0.2323,0.2193,0.0749,1.0,1.0,old_city_charminar
17.355533,78.475723,0.282,0.0893,0.348,0.0671,1.0,1.0,old_city_charminar
17.350436,78.470515,0.2292,0.229,0.3385,0.091,1.0,1.0,old_city_charminar
17.36217,78.466555,0.2701,0.2644,0.1582,0.1931,0.0,1.0,old_city_charminar
17.356044,78.453836,0.066,0.3363,0.2766,0.1578,0.0,1.0,old_city_charminar
17.383668,78.479762,0.05,0.2843,0.4486,0.2523,0.0,1.0,old_city_charminar
17.352466,78.458701,0.1034,0.351,0.2986,0.1147,0.0,1.0,old_city_charminar
17.358443,78.459103,0.2343,0.1199,0.2692,0.1892,0.0,1.0,old_city_charminar
17.362331,78.50405,0.1483,0.2837,0.2858,0.1843,0.0,1.0,old_city_charminar
17.363019,78.482977,0.231,0.1334,0.4493,0.05,0.0,1.0,old_city_charminar
17.367092,78.473344,0.0859,0.2345,0.3619,0.1475,1.0,1.0,old_city_charminar
17.354233,78.48532,0.145,0.1715,0.363,0.2015,0.0,1.0,old_city_charminar
17.353729,78.485659,0.1586,0.1703,0.1749,0.0946,0.0,1.0,old_city_charminar
17.368439,78.472173,0.1048,0.2969,0.3578,0.2369,0.0,1.0,old_city_charminar
17.361752,78.486337,0.0834,0.2864,0.2833,0.2398,1.0,1.0,old_city_charminar
17.365652,78.473073,0.1268,0.2617,0.2427,0.3265,0.0,1.0,old_city_charminar
17.376662,78.459742,0.1739,0.2667,0.2511,0.1794,0.0,1.0,old_city_charminar
17.373789,78.472862,0.0622,0.1975,0.3289,0.1405,0.0,1.0,old_city_charminar
17.356184,78.477248,0.1591,0.2811,0.3808,0.1466,0.0,1.0,old_city_charminar
17.352619,78.472032,0.1418,0.3233,0.36,0.1688,0.0,1.0,old_city_charminar
17.357821,78.474643,0.0722,0.2166,0.389,0.234,0.0,1.0,old_city_charminar
17.36024,78.479721,0.1683,0.1919,0.3157,0.1809,1.0,1.0,old_city_charminar
17.36752,78.475379,0.2793,0.2484,0.2698,0.3102,0.0,1.0,old_city_charminar
17.372504,78.476992,0.2733,0.1634,0.2412,0.138,0.0,1.0,old_city_charminar
17.374508,78.452073,0.05,0.2454,0.34,0.2479,0.0,1.0,old_city_charminar
17.345097,78.497593,0.2026,0.1872,0.1801,0.2748,0.0,1.0,old_city_charminar
17.365045,78.478184,0.05,0.1569,0.2924,0.1761,0.0,1.0,old_city_charminar
17.361666,78.475287,0.0885,0.2636,0.2253,0.17,0.0,1.0,old_city_charminar
17.344493,78.481394,0.1942,0.3279,0.242,0.1587,0.0,1.0,old_city_charminar
17.380989,78.476146,0.2026,0.2247,0.4443,0.3029,0.0,1.0,old_city_charminar
17.348845,78.471336,0.2242,0.2814,0.2696,0.156,1.0,1.0,old_city_charminar
17.37483,78.452716,0.05,0.0773,0.2811,0.2302,0.0,1.0,old_city_charminar
17.355516,78.491381,0.1887,0.2431,0.299,0.2357,0.0,1.0,old_city_charminar
17.366401,78.474291,0.05,0.2138,0.2087,0.2269,1.0,1.0,old_city_charminar
17.347834,78.480796,0.1723,0.1997,0.4439,0.1576,0.0,1.0,old_city_charminar
17.354972,78.464789,0.1125,0.1475,0.2612,0.0961,0.0,1.0,old_city_charminar
17.360326,78.475227,0.156,0.3043,0.3596,0.1366,0.0,1.0,old_city_charminar
17.354969,78.467502,0.1007,0.0589,0.1939,0.2757,0.0,1.0,old_city_charminar
17.372243,78.462351,0.122,0.2878,0.2319,0.1856,0.0,1.0,old_city_charminar
17.341519,78.477243,0.0671,0.1204,0.2547,0.1043,0.0,1.0,old_city_charminar
17.364328,78.486082,0.1939,0.2658,0.2388,0.1798,0.0,1.0,old_city_charminar
17.380639,78.481436,0.05,0.2067,0.2387,0.0832,0.0,1.0,old_city_charminar
17.337678,78.486466,0.1219,0.2289,0.2747,0.1633,0.0,1.0,old_city_charminar
17.353467,78.468611,0.0785,0.1595,0.3034,0.1218,0.0,1.0,old_city_charminar
17.366478,78.473639,0.1366,0.2392,0.2493,0.1427,0.0,1.0,old_city_charminar
17.362842,78.484092,0.05,0.258,0.2536,0.2199,0.0,1.0,old_city_charminar
17.365097,78.440438,0.0879,0.1985,0.1933,0.2358,0.0,1.0,old_city_charminar
17.360774,78.459562,0.0744,0.2233,0.2398,0.1531,1.0,1.0,old_city_charminar
17.354075,78.484203,0.1974,0.274,0.2494,0.3504,0.0,1.0,old_city_charminar
17.340771,78.47297,0.206,0.2077,0.3261,0.2391,0.0,1.0,chandrayangutta
17.333801,78.476137,0.1384,0.2912,0.2977,0.2277,0.0,1.0,chandrayangutta
17.337898,78.495754,0.241,0.2272,0.4041,0.2214,0.0,1.0,chandrayangutta
17.328236,78.452697,0.2536,0.191,0.2094,0.2511,0.0,1.0,chandrayangutta
17.343294,78.452889,0.1965,0.304,0.2165,0.3301,0.0,1.0,chandrayangutta
17.340094,78.487473,0.2476,0.2557,0.2859,0.2783,0.0,1.0,chandrayangutta
17.343303,78.466439,0.185,0.2166,0.3535,0.2734,0.0,1.0,chandrayangutta
17.34787,78.470554,0.1501,0.2113,0.3875,0.3181,0.0,1.0,chandrayangutta
17.339134,78.493768,0.1258,0.1629,0.1955,0.3547,0.0,1.0,chandrayangutta
17.336805,78.501436,0.1658,0.2533,0.4448,0.2913,0.0,1.0,chandrayangutta
17.327095,78.479715,0.3117,0.3442,0.4315,0.2142,0.0,1.0,chandrayangutta
17.334098,78.482811,0.3577,0.2867,0.2788,0.2407,0.0,1.0,chandrayangutta
17.324879,78.458451,0.2376,0.2551,0.2297,0.1593,0.0,1.0,chandrayangutta
17.319972,78.472393,0.1012,0.2396,0.3195,0.1577,0.0,1.0,chandrayangutta
17.332691,78.481962,0.3094,0.3289,0.3012,0.1725,1.0,1.0,chandrayangutta
17.335007,78.476583,0.1326,0.2605,0.2652,0.2972,0.0,1.0,chandrayangutta
17.329263,78.469531,0.1777,0.212,0.2701,0.2575,0.0,1.0,chandrayangutta
17.348886,78.448406,0.05,0.1632,0.2376,0.2643,0.0,1.0,chandrayangutta
17.320925,78.467222,0.1023,0.3727,0.3855,0.339,1.0,1.0,chandrayangutta
17.327955,78.467717,0.1869,0.2409,0.355,0.1763,0.0,1.0,chandrayangutta
17.332597,78.471252,0.2298,0.2811,0.2947,0.3312,0.0,1.0,chandrayangutta
17.328428,78.465626,0.0631,0.3735,0.2331,0.1929,0.0,1.0,chandrayangutta
17.319434,78.48106,0.0904,0.3728,0.1743,0.3688,0.0,1.0,chandrayangutta
17.344718,78.47469,0.1565,0.3442,0.4709,0.2971,0.0,1.0,chandrayangutta
17.336709,78.47316,0.1813,0.2743,0.2822,0.1955,1.0,1.0,chandrayangutta
17.318704,78.480519,0.3204,0.3002,0.2872,0.2869,1.0,1.0,chandrayangutta
17.33756,78.484827,0.2966,0.321,0.1911,0.1604,0.0,1.0,chandrayangutta
17.33152,78.476986,0.0796,0.2907,0.2133,0.1941,0.0,1.0,chandrayangutta
17.325241,78.485536,0.1135,0.4343,0.3545,0.2629,0.0,1.0,chandrayangutta
17.341076,78.459808,0.1796,0.2039,0.2017,0.3191,0.0,1.0,chandrayangutta
17.33465,78.492708,0.1361,0.3769,0.3695,0.2106,0.0,1.0,chandrayangutta
17.324122,78.484295,0.0566,0.3301,0.2276,0.2342,0.0,1.0,chandrayangutta
17.338802,78.481106,0.2192,0.3257,0.3784,0.2821,0.0,1.0,chandrayangutta
17.319734,78.474421,0.2373,0.2594,0.3513,0.2351,0.0,1.0,chandrayangutta
17.334604,78.481815,0.182,0.2521,0.3857,0.2139,1.0,1.0,chandrayangutta
17.320948,78.48001,0.107,0.3395,0.3017,0.2594,0.0,1.0,chandrayangutta
17.34947,78.476966,0.2522,0.146,0.3387,0.3123,0.0,1.0,chandrayangutta
17.342134,78.47547,0.2656,0.2022,0.2843,0.0761,0.0,1.0,chandrayangutta
17.330545,78.489534,0.2906,0.2134,0.2906,0.2303,0.0,1.0,chandrayangutta
17.324939,78.464491,0.05,0.1655,0.2451,0.2978,0.0,1.0,chandrayangutta
17.344843,78.47286,0.1765,0.2972,0.2414,0.2768,0.0,1.0,chandrayangutta
17.346671,78.491211,0.0701,0.2552,0.2838,0.2081,0.0,1.0,chandrayangutta
17.328626,78.48689,0.2794,0.21,0.2617,0.283,0.0,1.0,chandrayangutta
17.327948,78.467964,0.345,0.3156,0.2612,0.2615,0.0,1.0,chandrayangutta
17.328872,78.471123,0.2,0.2734,0.3661,0.3907,1.0,1.0,chandrayangutta
17.317515,78.462427,0.2419,0.1835,0.2611,0.2494,0.0,1.0,chandrayangutta
17.329824,78.477238,0.1789,0.3332,0.4969,0.2128,0.0,1.0,chandrayangutta
17.348239,78.463682,0.0652,0.2824,0.3368,0.2714,0.0,1.0,chandrayangutta
17.343205,78.480073,0.2547,0.3319,0.4168,0.2954,0.0,1.0,chandrayangutta
17.331297,78.466664,0.1317,0.2846,0.3493,0.278,0.0,1.0,chandrayangutta
17.336911,78.475464,0.0848,0.3022,0.3652,0.4014,0.0,1.0,chandrayangutta
17.337666,78.470986,0.2177,0.2534,0.4046,0.1491,0.0,1.0,chandrayangutta
17.330536,78.476941,0.2552,0.1781,0.3293,0.201,0.0,1.0,chandrayangutta
17.330199,78.476278,0.2057,0.2132,0.3108,0.1075,0.0,1.0,chandrayangutta
17.329448,78.493812,0.0786,0.0961,0.3508,0.2149,0.0,1.0,chandrayangutta
17.346219,78.488105,0.1644,0.1697,0.312,0.2943,0.0,1.0,chandrayangutta
17.319745,78.468081,0.1768,0.267,0.3031,0.2746,0.0,1.0,chandrayangutta
17.335742,78.472706,0.2465,0.226,0.3554,0.248,0.0,1.0,chandrayangutta
17.338427,78.479568,0.2199,0.2813,0.365,0.343,0.0,1.0,chandrayangutta
17.347492,78.479914,0.1078,0.2465,0.3462,0.197,0.0,1.0,chandrayangutta
17.319558,78.444261,0.229,0.2323,0.4088,0.2343,0.0,1.0,karwan_falaknuma
17.316954,78.459721,0.2079,0.2318,0.5231,0.2453,0.0,1.0,karwan_falaknuma
17.328644,78.46468,0.1523,0.2767,0.3497,0.1989,0.0,1.0,karwan_falaknuma
17.325774,78.479598,0.1587,0.2826,0.3312,0.274,1.0,1.0,karwan_falaknuma
17.308982,78.456908,0.3458,0.3249,0.31,0.3201,0.0,1.0,karwan_falaknuma
17.323031,78.451216,0.3468,0.3051,0.3775,0.3277,0.0,1.0,karwan_falaknuma
17.331545,78.454112,0.3122,0.2938,0.4953,0.2318,0.0,1.0,karwan_falaknuma
17.315935,78.46225,0.1478,0.2429,0.3933,0.3591,0.0,1.0,karwan_falaknuma
17.339003,78.4648,0.2227,0.2884,0.3929,0.2084,1.0,1.0,karwan_falaknuma
17.332002,78.458782,0.2853,0.3411,0.2195,0.2169,0.0,1.0,karwan_falaknuma
17.322469,78.471518,0.3379,0.2479,0.4255,0.2773,0.0,1.0,karwan_falaknuma
17.302038,78.4537,0.276,0.2925,0.3873,0.1922,0.0,1.0,karwan_falaknuma
17.313119,78.464354,0.2546,0.2982,0.3115,0.233,0.0,1.0,karwan_falaknuma
17.323562,78.456794,0.1045,0.2765,0.339,0.3544,0.0,1.0,karwan_falaknuma
17.332636,78.440863,0.1946,0.2016,0.2594,0.3613,0.0,1.0,karwan_falaknuma
17.302885,78.457004,0.0733,0.2978,0.3319,0.3664,0.0,1.0,karwan_falaknuma
17.336508,78.469352,0.1956,0.2556,0.3275,0.4254,0.0,1.0,karwan_falaknuma
17.323989,78.474286,0.1988,0.3066,0.3271,0.2414,1.0,1.0,karwan_falaknuma
17.328004,78.460571,0.2713,0.2743,0.3555,0.1401,1.0,1.0,karwan_falaknuma
17.321533,78.464978,0.2106,0.356,0.2029,0.4856,0.0,1.0,karwan_falaknuma
17.33219,78.448561,0.2629,0.2063,0.3063,0.414,0.0,1.0,karwan_falaknuma
17.326019,78.449911,0.2178,0.4202,0.4174,0.3015,0.0,1.0,karwan_falaknuma
17.332161,78.473057,0.2647,0.2,0.4643,0.1998,1.0,1.0,karwan_falaknuma
17.331057,78.457224,0.2438,0.3805,0.3895,0.3049,0.0,1.0,karwan_falaknuma
17.333084,78.446496,0.2618,0.3291,0.3292,0.3763,0.0,1.0,karwan_falaknuma
17.321325,78.448685,0.1305,0.1649,0.288,0.3887,0.0,1.0,karwan_falaknuma
17.312971,78.445446,0.3349,0.3507,0.3018,0.4377,0.0,1.0,karwan_falaknuma
17.320651,78.472387,0.1882,0.2786,0.269,0.1727,0.0,1.0,karwan_falaknuma
17.331248,78.486837,0.3169,0.3195,0.3916,0.3397,0.0,1.0,karwan_falaknuma
17.31722,78.464313,0.2068,0.3187,0.3476,0.2135,0.0,1.0,karwan_falaknuma
17.309125,78.447861,0.2326,0.3774,0.4143,0.1701,0.0,1.0,karwan_falaknuma
17.313363,78.442545,0.2106,0.2689,0.2822,0.3186,0.0,1.0,karwan_falaknuma
17.313385,78.463518,0.1085,0.3108,0.3486,0.3187,0.0,1.0,karwan_falaknuma
17.313631,78.460701,0.253,0.2897,0.4344,0.3069,0.0,1.0,karwan_falaknuma
17.312278,78.452708,0.1218,0.4025,0.2629,0.2315,0.0,1.0,karwan_falaknuma
17.328832,78.453835,0.3474,0.222,0.3668,0.2253,0.0,1.0,karwan_falaknuma
17.306936,78.463408,0.2644,0.309,0.337,0.2709,1.0,1.0,karwan_falaknuma
17.33347,78.477857,0.1124,0.2987,0.4522,0.162,0.0,1.0,karwan_falaknuma
17.31116,78.47803,0.3374,0.2412,0.3898,0.394,0.0,1.0,karwan_falaknuma
17.307891,78.452176,0.1789,0.2662,0.2969,0.2823,0.0,1.0,karwan_falaknuma
17.322572,78.442885,0.2432,0.3383,0.2104,0.3062,0.0,1.0,karwan_falaknuma
17.327645,78.481412,0.2018,0.4009,0.3568,0.2323,0.0,1.0,karwan_falaknuma
17.325926,78.449873,0.2319,0.181,0.3422,0.2167,0.0,1.0,karwan_falaknuma
17.334454,78.44664,0.1826,0.1815,0.3551,0.3346,0.0,1.0,karwan_falaknuma
17.345513,78.464326,0.2334,0.2584,0.3593,0.2693,0.0,1.0,karwan_falaknuma
17.308223,78.450213,0.1707,0.2633,0.3561,0.3296,0.0,1.0,karwan_falaknuma
17.307863,78.436318,0.2472,0.4545,0.3496,0.3387,0.0,1.0,karwan_falaknuma
17.315767,78.465104,0.1893,0.3616,0.3898,0.322,0.0,1.0,karwan_falaknuma
17.318075,78.451687,0.2576,0.2171,0.352,0.2794,0.0,1.0,karwan_falaknuma
17.317523,78.462173,0.3925,0.259,0.3045,0.3171,0.0,1.0,karwan_falaknuma
17.308284,78.456643,0.1773,0.2669,0.354,0.3171,0.0,1.0,karwan_falaknuma
17.300174,78.452888,0.05,0.3005,0.3698,0.2245,0.0,1.0,karwan_falaknuma
17.336838,78.473406,0.2051,0.3844,0.3604,0.2564,0.0,1.0,karwan_falaknuma
17.3138,78.45548,0.1943,0.2305,0.3712,0.236,1.0,1.0,karwan_falaknuma
17.321766,78.460034,0.2506,0.3633,0.4165,0.1761,0.0,1.0,karwan_falaknuma
17.308516,78.457701,0.211,0.3493,0.3145,0.198,0.0,1.0,karwan_falaknuma
17.325956,78.468351,0.1796,0.0986,0.3118,0.3074,0.0,1.0,karwan_falaknuma
17.309065,78.45966,0.0828,0.4242,0.2665,0.2772,0.0,1.0,karwan_falaknuma
17.318098,78.478829,0.124,0.1671,0.453,0.2653,0.0,1.0,karwan_falaknuma
17.332566,78.447671,0.1081,0.2515,0.3438,0.3445,0.0,1.0,karwan_falaknuma
17.379679,78.507694,0.3541,0.4249,0.3826,0.2597,0.0,1.0,malakpet
17.373798,78.520499,0.2317,0.3072,0.399,0.2836,1.0,1.0,malakpet
17.360876,78.496255,0.346,0.2474,0.2962,0.3629,0.0,1.0,malakpet
17.375543,78.498629,0.1875,0.3704,0.4286,0.4249,0.0,1.0,malakpet
17.370096,78.502743,0.3563,0.3445,0.4165,0.4932,1.0,1.0,malakpet
17.386101,78.521193,0.3097,0.3475,0.3117,0.3487,0.0,1.0,malakpet
17.363597,78.487303,0.4145,0.2117,0.3623,0.2979,0.0,1.0,malakpet
17.360935,78.513217,0.2743,0.3213,0.447,0.2549,0.0,1.0,malakpet
17.377419,78.511614,0.303,0.3939,0.3945,0.2163,0.0,1.0,malakpet
17.372151,78.504227,0.315,0.3462,0.3824,0.2006,0.0,1.0,malakpet
17.375779,78.52032,0.2693,0.5081,0.4252,0.1791,0.0,1.0,malakpet
17.375958,78.513102,0.2002,0.3382,0.36,0.3184,0.0,1.0,malakpet
17.371119,78.497345,0.2036,0.3471,0.5136,0.3516,0.0,1.0,malakpet
17.368368,78.495008,0.2722,0.4164,0.264,0.2315,1.0,1.0,malakpet
17.379501,78.501645,0.3882,0.268,0.398,0.3946,0.0,1.0,malakpet
17.38813,78.498242,0.3433,0.2542,0.3945,0.2531,0.0,1.0,malakpet
17.367922,78.506661,0.3734,0.4605,0.5449,0.4167,0.0,1.0,malakpet
17.367377,78.512451,0.2494,0.405,0.4693,0.2681,0.0,1.0,malakpet
17.373796,78.518298,0.1587,0.2845,0.3227,0.1707,1.0,1.0,malakpet
17.377321,78.492711,0.2652,0.3461,0.5289,0.2339,0.0,1.0,malakpet
17.370962,78.496365,0.2202,0.3871,0.5308,0.4435,0.0,1.0,malakpet
17.360303,78.49443,0.2078,0.3617,0.2283,0.3336,0.0,1.0,malakpet
17.368806,78.490648,0.2911,0.2574,0.2864,0.0902,1.0,1.0,malakpet
17.374851,78.501594,0.05,0.2871,0.452,0.3822,0.0,1.0,malakpet
17.364015,78.507716,0.3113,0.3982,0.372,0.3037,0.0,1.0,malakpet
17.376195,78.50301,0.1828,0.2262,0.3557,0.4454,0.0,1.0,malakpet
17.372808,78.498275,0.0561,0.3707,0.4389,0.2975,1.0,1.0,malakpet
17.375224,78.505786,0.3062,0.3077,0.3712,0.2717,0.0,1.0,malakpet
17.380148,78.493711,0.2735,0.1915,0.4173,0.3171,0.0,1.0,malakpet
17.365724,78.502163,0.2159,0.2567,0.4306,0.284,0.0,1.0,malakpet
17.363858,78.505555,0.2843,0.3554,0.3941,0.2906,0.0,1.0,malakpet
17.372256,78.497539,0.1487,0.2954,0.3441,0.4808,0.0,1.0,malakpet
17.378572,78.523517,0.2517,0.2418,0.3654,0.43,1.0,1.0,malakpet
17.367344,78.510422,0.1933,0.2592,0.473,0.2585,0.0,1.0,malakpet
17.375908,78.502729,0.2267,0.1749,0.4506,0.3138,0.0,1.0,malakpet
